f-no.,province,country,ancient findspot,modern findspot,present location,date of photograph,cil,ae,other literature,Latitude,Longitude
F002319,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,"1973, 0549.","IGLS 13, 1, 9062.",32.52045134,36.48130075
F002322,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,"1973, 0555.","IGLS 13, 1, 9100.",32.52045134,36.48130075
F002323,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,"1965, 0026.","IGLS 13, 1, 9170.",32.52045134,36.48130075
F002330,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,"1957, 0271.","IGLS 13, 1, 9070.",32.52045134,36.48130075
F002329,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,"1952, 0248.","IGLS 13, 1, 9010.",32.52045134,36.48130075
F002318,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9184.",32.52045134,36.48130075
F002320,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9078.",32.52045134,36.48130075
F002321,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9092.",32.52045134,36.48130075
F002324,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9172.",32.52045134,36.48130075
F002325,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9199.",32.52045134,36.48130075
F002326,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9392.",32.52045134,36.48130075
F002327,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9400.",32.52045134,36.48130075
F002328,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9004.",32.52045134,36.48130075
F002331,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9139.",32.52045134,36.48130075
F002332,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9124.",32.52045134,36.48130075
F002333,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9190.",32.52045134,36.48130075
F002334,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9246.",32.52045134,36.48130075
F002335,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9393.",32.52045134,36.48130075
F002336,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9407.",32.52045134,36.48130075
F002545,Arabia,Syrian Arab Republic,Bostra,Buṣrā,"Damaskus, Nat. Mus.",1989,,,"S. Abdul-Hak, - A. Abdul-Hak, Catalogue illustré (Damaskus 1951) 61-62, Nr. 14.",32.52045134,36.48130075
F007316,Arabia,Syrian Arab Republic,Bostra,Buṣrā,"Damaskus, Nat. Mus.",1989,,,"S. Abdul-Hak, - A. Abdul-Hak, Catalogue illustré (Damaskus 1951) 61-62, Nr. 14.",32.52045134,36.48130075
F009840,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,,32.52045134,36.48130075
F009841,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,,32.52045134,36.48130075
F010159,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9391.",32.52045134,36.48130075
F010160,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,,32.52045134,36.48130075
F010161,Arabia,Syrian Arab Republic,Bostra,Buṣrā,Buṣrā,1989,,,"IGLS 13, 1, 9068.",32.52045134,36.48130075
F020595,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,"03, 00089.",,"IGLS 13, 1, 9079.",32.52045134,36.48130075
F020596,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,"03, 00089.",,"IGLS 13, 1, 9079.",32.52045134,36.48130075
F020597,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,"03, 00090.",,"IGLS 13, 1, 9078.",32.52045134,36.48130075
F020598,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,,,"IGLS 13, 1, 9029.",32.52045134,36.48130075
F020599,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,,,"IGLS 13, 1, 9170.",32.52045134,36.48130075
F020600,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,,,"IGLS 13, 1, 9175.",32.52045134,36.48130075
F020601,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,,,"IGLS 13, 1, 9184.",32.52045134,36.48130075
F020602,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,,,"IGLS 13, 1, 9195.",32.52045134,36.48130075
F020603,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,,,"IGLS 13, 1, 9195.",32.52045134,36.48130075
F020604,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,,,"IGLS 13, 1, 9199.",32.52045134,36.48130075
F020605,Arabia,Syrian Arab Republic,Bostra,Buṣrā,,2007,,,"IGLS 13, 1, 9199.",32.52045134,36.48130075
F020608,Arabia,Syrian Arab Republic,Bostra,Buṣrā,"Damaskus, Nat. Mus.",2007,,,"IGLS 13, 1, 9187.",32.52045134,36.48130075
